,ID,test_run,date,depth,lon,lat,start_time,radius,density,diffusion,sinking_vel,fragmentation,frag_timescale,frag_mode,bio_fields,sim_time
0,ZYPREV,True,2022-04-25 15:36:56.912928,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,10,0.5,False,
0,A4MWNG,True,2022-04-25 15:37:09.451352,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,100,0.5,False,
0,4ZUA8B,True,2022-04-25 15:37:23.763885,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,False,0,0.5,False,
0,6I24FN,True,2022-04-25 16:34:32.943603,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,1,0.5,False,
0,TIG93Y,True,2022-04-25 17:47:09.786996,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,10,0.5,False,30.0
0,7RQ4IL,True,2022-04-25 18:14:16.107609,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,10,0.5,False,10.0
0,430EBZ,True,2022-04-25 18:45:12.885488,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,10,0.5,False,10.0
0,HM5LTS,True,2022-04-25 18:45:44.225626,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,10,0.5,False,10.0
0,VMTRF4,True,2022-04-25 18:54:19.899477,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,10,0.5,False,10.0
0,QKB473,True,2022-04-25 18:56:25.013956,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,10,0.5,False,10.0
0,LK2MBX,False,2022-04-25 19:32:12.456270,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,10,0.5,False,365.0
0,XMIZR4,False,2022-04-25 19:32:23.349162,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,100,0.5,False,365.0
0,6HQMCD,True,2022-04-26 11:55:26.203756,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,10,0.5,False,10.0
0,3UZGEA,True,2022-04-26 11:55:38.649869,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,100,0.5,False,10.0
0,1GLYVS,False,2022-04-26 13:44:04.843369,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,10,0.5,False,10.0
0,E2IFDY,False,2022-04-26 13:44:18.216967,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,True,100,0.5,False,10.0
0,1U8P3K,False,2022-04-26 15:20:17.890437,5179,6.287,-32.171,2019-12-30 12:00:00,5e-05,1380,False,True,False,0,0.5,False,10.0
